Date,Open,High,Low,Close,Adj Close,Volume
2011-06-17,148.869995,151.860001,147.259995,148.339996,148.339996,81087000
2011-06-24,147.860001,148.020004,145.199997,146.000000,146.000000,64999400
2011-07-01,144.759995,149.440002,143.970001,149.149994,149.149994,51668100
2011-07-08,150.320007,155.240005,149.990005,154.539993,154.539993,102107800
2011-07-15,154.339996,156.580002,154.100006,154.830002,154.830002,91435400
2011-07-22,156.000000,158.639999,155.679993,157.320007,157.320007,65816100
2011-07-29,158.429993,163.869995,156.779999,160.639999,160.639999,124437000
2011-08-05,161.639999,175.130005,160.479996,170.750000,170.750000,218008400
2011-08-12,169.570007,178.100006,167.770004,177.720001,177.720001,108670800
2011-08-19,181.639999,184.820007,165.880005,172.360001,172.360001,231120100
2011-08-26,173.570007,179.309998,171.750000,177.869995,177.869995,117329400
2011-09-02,182.820007,185.850006,174.449997,181.809998,181.809998,101667000
2011-09-09,179.759995,181.949997,172.559998,174.399994,174.399994,103508600
2011-09-16,173.720001,177.399994,167.479996,169.050003,169.050003,100570000
2011-09-23,164.509995,165.720001,154.190002,157.699997,157.699997,159596200
2011-09-30,157.300003,161.559998,155.270004,160.490005,160.490005,82492500
2011-10-07,161.020004,164.000000,158.229996,162.300003,162.300003,49414600
2011-10-14,163.330002,164.160004,156.050003,157.770004,157.770004,59790600
2011-10-21,159.990005,170.289993,158.940002,169.550003,169.550003,78658300
2011-10-28,169.639999,172.039993,163.610001,171.720001,171.720001,65276400
2011-11-04,171.029999,175.460007,168.830002,171.139999,171.139999,71409100
2011-11-11,172.100006,174.050003,166.389999,167.100006,167.100006,67343600
2011-11-18,167.229996,168.690002,162.070007,164.830002,164.830002,59781300
2011-11-25,163.330002,170.570007,163.289993,169.630005,169.630005,50732800
2011-12-02,170.649994,170.800003,165.529999,165.979996,165.979996,51157600
2011-12-09,166.429993,167.339996,151.710007,152.330002,152.330002,112590100
2011-12-16,154.309998,157.529999,153.899994,156.039993,156.039993,61692300
2011-12-23,156.350006,156.490005,148.270004,150.339996,150.339996,44732000
2011-12-30,152.139999,158.029999,151.789993,157.779999,157.779999,47409800
2012-01-06,158.589996,161.619995,156.190002,160.380005,160.380005,43504800
2012-01-13,159.320007,161.649994,158.009995,161.220001,161.220001,34679000
2012-01-20,160.500000,168.309998,160.000000,167.270004,167.270004,76052400
2012-01-27,167.440002,171.229996,167.410004,171.050003,171.050003,51904400
2012-02-03,169.880005,170.369995,166.610001,168.020004,168.020004,70517700
2012-02-10,166.490005,168.750000,166.169998,168.000000,168.000000,47650700
2012-02-17,168.289993,173.770004,166.869995,173.020004,173.020004,49228800
2012-02-24,172.630005,174.000000,164.000000,166.610001,166.610001,92397300
2012-03-02,166.229996,166.830002,161.779999,165.279999,165.279999,55314200
2012-03-09,163.639999,166.570007,158.800003,161.080002,161.080002,81780400
2012-03-16,160.080002,162.300003,158.130005,159.570007,159.570007,51894100
2012-03-23,160.880005,164.889999,159.809998,161.279999,161.279999,56859500
2012-03-30,161.669998,163.559998,156.580002,158.309998,158.309998,56841300
2012-04-06,159.720001,163.199997,158.470001,162.699997,162.699997,41769600
2012-04-13,162.449997,162.460007,158.750000,159.429993,159.429993,41676000
2012-04-20,159.250000,161.380005,157.759995,161.029999,161.029999,49238600
2012-04-27,161.779999,162.179993,158.369995,158.970001,158.970001,43133000
2012-05-04,158.820007,159.979996,153.600006,154.770004,154.770004,55493800
2012-05-11,153.440002,154.470001,148.600006,152.800003,152.800003,69859700
2012-05-18,154.460007,155.130005,148.839996,151.410004,151.410004,60390900
2012-05-25,151.889999,153.619995,148.529999,151.619995,151.619995,44335100
2012-06-01,155.410004,159.199997,153.190002,154.500000,154.500000,81650000
2012-06-08,153.020004,157.940002,153.000000,157.750000,157.750000,55094700
2012-06-15,157.750000,158.460007,151.800003,152.020004,152.020004,58195900
2012-06-22,152.039993,154.160004,150.149994,151.050003,151.050003,32658500
2012-06-29,155.130005,157.720001,154.339996,155.679993,155.679993,24430000
2012-07-06,154.229996,155.179993,150.850006,152.589996,152.589996,39495400
2012-07-13,153.449997,154.940002,152.399994,153.380005,153.380005,36690600
2012-07-20,152.970001,157.259995,152.199997,156.770004,156.770004,37078800
2012-07-27,157.639999,157.960007,153.610001,154.130005,154.130005,52157700
2012-08-03,154.649994,157.000000,154.419998,156.990005,156.990005,28003100
2012-08-10,156.899994,157.820007,154.830002,156.559998,156.559998,28088700
2012-08-17,157.059998,162.449997,156.220001,161.889999,161.889999,58334900
2012-08-24,161.869995,162.350006,160.009995,160.520004,160.520004,34053000
2012-08-31,161.139999,165.779999,159.559998,164.889999,164.889999,51422000
2012-09-07,167.770004,171.910004,166.300003,171.309998,171.309998,72704400
2012-09-14,171.889999,172.229996,170.059998,171.470001,171.470001,58444500
2012-09-21,172.929993,173.179993,168.339996,172.339996,172.339996,55508800
2012-09-28,172.029999,174.070007,171.339996,173.610001,173.610001,43435900
2012-10-05,172.869995,173.369995,170.300003,171.320007,171.320007,33447200
2012-10-12,171.149994,171.410004,167.529999,168.789993,168.789993,36985400
2012-10-19,168.419998,168.449997,164.600006,166.020004,166.020004,49927500
2012-10-26,166.229996,167.279999,165.770004,166.070007,166.070007,17140800
2012-11-02,164.449997,168.160004,162.300003,167.990005,167.990005,58995300
2012-11-09,168.210007,168.539993,165.179993,166.089996,166.089996,38005600
2012-11-16,165.740005,168.160004,165.470001,167.559998,167.559998,23015300
2012-11-23,167.970001,170.009995,165.380005,167.179993,167.179993,39129100
2012-11-30,166.940002,167.220001,163.199997,164.500000,164.500000,42933000
2012-12-07,164.880005,166.940002,163.779999,164.369995,164.369995,40157600
2012-12-14,164.169998,164.619995,158.389999,159.729996,159.729996,75660000
2012-12-21,159.820007,161.490005,159.779999,161.160004,161.160004,31044300
2012-12-28,160.940002,164.139999,160.149994,161.199997,161.199997,45188400
2013-01-04,159.520004,162.559998,158.889999,161.979996,161.979996,56003200
2013-01-11,161.860001,164.399994,160.110001,163.350006,163.350006,55168500
2013-01-18,163.949997,164.220001,161.179993,161.419998,161.419998,38511300
2013-01-25,160.559998,163.039993,160.020004,161.199997,161.199997,46237900
2013-02-01,162.660004,162.960007,160.869995,161.839996,161.839996,48204500
2013-02-08,161.460007,162.020004,158.039993,158.350006,158.350006,47173200
2013-02-15,156.419998,156.580002,150.839996,152.619995,152.619995,84066800
2013-02-22,152.259995,156.800003,151.929993,153.000000,153.000000,62224200
2013-03-01,153.160004,153.610001,151.649994,152.690002,152.690002,46069500
2013-03-08,151.610001,154.690002,151.399994,153.679993,153.679993,42782700
2013-03-15,154.119995,156.429993,153.970001,156.250000,156.250000,39240600
2013-03-22,155.449997,155.990005,154.220001,154.449997,154.449997,32522300
2013-03-29,154.570007,154.929993,149.440002,150.289993,150.289993,41856200
2013-04-05,151.539993,153.850006,150.580002,151.050003,151.050003,54350600
2013-04-12,148.649994,148.850006,130.509995,134.300003,134.300003,240541400
2013-04-19,136.000000,142.080002,134.600006,141.630005,141.630005,76128900
2013-04-26,142.300003,143.429993,139.300003,141.919998,141.919998,67030000
2013-05-03,141.699997,142.809998,139.369995,140.809998,140.809998,52448900
2013-05-10,138.220001,139.750000,133.000000,134.089996,134.089996,63082000
2013-05-17,133.169998,136.770004,130.850006,134.610001,134.610001,92725800
2013-05-24,134.110001,137.110001,132.800003,136.699997,136.699997,35362900
2013-05-31,135.710007,137.619995,133.889999,136.529999,136.529999,41697400
2013-06-07,134.110001,134.830002,132.240005,133.740005,133.740005,38108900
2013-06-14,134.000000,134.600006,123.330002,123.599998,123.599998,57620200
2013-06-21,125.160004,125.570000,115.650002,115.940002,115.940002,93469200
2013-06-28,115.220001,121.949997,114.680000,120.739998,120.739998,66227700
2013-07-05,118.080002,124.360001,116.739998,124.239998,124.239998,54422600
2013-07-12,123.519997,125.699997,122.730003,124.010002,124.010002,33327600
2013-07-19,124.889999,130.139999,124.650002,128.669998,128.669998,40121300
2013-07-26,128.110001,128.970001,126.129997,126.610001,126.610001,40769900
2013-08-02,126.739998,127.250000,123.550003,126.860001,126.860001,30444700
2013-08-09,126.510002,132.360001,126.300003,131.690002,131.690002,46881900
2013-08-16,132.559998,133.460007,131.389999,132.809998,132.809998,46836600
2013-08-23,132.580002,137.550003,132.500000,135.869995,135.869995,52188600
2013-08-30,134.649994,136.789993,131.800003,132.199997,132.199997,34684700
2013-09-06,133.419998,134.399994,127.610001,127.669998,127.669998,39962900
2013-09-13,127.160004,132.779999,125.150002,131.750000,131.750000,69158900
2013-09-20,130.600006,130.910004,126.339996,127.790001,127.790001,51340100
2013-09-27,128.860001,129.580002,123.809998,127.180000,127.180000,56757400
2013-10-04,127.050003,128.449997,124.099998,124.269997,124.269997,41884900
2013-10-11,122.370003,127.860001,121.849998,127.419998,127.419998,50783500
2013-10-18,126.870003,130.529999,126.599998,129.899994,129.899994,32908300
2013-10-25,129.529999,131.440002,127.300003,127.739998,127.739998,37553500
2013-11-01,126.860001,127.519997,125.860001,126.160004,126.160004,29571700
2013-11-08,124.459999,124.910004,121.730003,124.269997,124.269997,33047300
2013-11-15,124.160004,124.519997,119.309998,119.940002,119.940002,36407000
2013-11-22,120.239998,121.000000,119.129997,119.459999,119.459999,29238600
2013-11-29,120.669998,121.050003,117.230003,118.300003,118.300003,39032000
2013-12-06,118.860001,122.320000,118.010002,118.290001,118.290001,41321200
2013-12-13,118.889999,120.769997,114.500000,114.820000,114.820000,55481100
2013-12-20,115.370003,117.230003,115.059998,116.739998,116.739998,28153300
2013-12-27,117.309998,118.730003,114.459999,118.000000,118.000000,31296300
2014-01-03,118.639999,120.389999,117.110001,118.459999,118.459999,33815900
2014-01-10,119.720001,121.059998,119.110001,119.790001,119.790001,30795100
2014-01-17,120.349998,122.019997,119.169998,121.790001,121.790001,30606900
2014-01-24,122.059998,122.510002,119.599998,119.769997,119.769997,42197800
2014-01-31,120.650002,122.110001,119.459999,121.239998,121.239998,35823600
2014-02-07,121.239998,125.599998,121.230003,125.489998,125.489998,41971700
2014-02-14,126.989998,127.750000,126.160004,127.599998,127.599998,38790700
2014-02-21,127.570000,129.529999,127.150002,128.199997,128.199997,37317800
2014-02-28,128.270004,130.589996,127.150002,130.169998,130.169998,38954300
2014-03-07,128.250000,132.539993,128.210007,132.210007,132.210007,38136600
2014-03-14,133.679993,133.690002,127.580002,127.860001,127.860001,53614500
2014-03-21,129.039993,129.089996,124.209999,124.589996,124.589996,42768400
2014-03-28,124.230003,124.959999,123.110001,123.919998,123.919998,34191500
2014-04-04,125.199997,127.370003,124.839996,127.010002,127.010002,28493500
2014-04-11,127.040001,128.250000,124.570000,124.750000,124.750000,31315400
2014-04-18,124.070000,125.120003,122.839996,124.559998,124.559998,25968100
2014-04-25,125.169998,125.709999,123.059998,123.800003,123.800003,34203400
2014-05-02,123.690002,126.629997,123.330002,124.169998,124.169998,30762800
2014-05-09,124.389999,125.959999,123.820000,124.769997,124.769997,19666000
2014-05-16,124.349998,125.470001,123.529999,124.669998,124.669998,22030800
2014-05-23,124.599998,124.660004,120.769997,120.940002,120.940002,25390400
2014-05-30,120.760002,120.879997,119.419998,120.660004,120.660004,27713900
2014-06-06,120.680000,122.750000,119.940002,122.639999,122.639999,22113100
2014-06-13,122.570000,127.230003,121.820000,126.940002,126.940002,42868700
2014-06-20,126.320000,127.550003,126.199997,126.730003,126.730003,33669800
2014-06-27,126.879997,128.240005,126.370003,127.160004,127.160004,41131000
2014-07-04,126.629997,129.210007,126.230003,128.539993,128.539993,25522800
2014-07-11,128.410004,128.830002,124.360001,127.089996,127.089996,41853000
2014-07-18,125.790001,126.550003,123.900002,124.349998,124.349998,24792200
2014-07-25,124.480003,125.930000,123.230003,123.389999,123.389999,29630700
2014-08-01,124.540001,126.510002,123.400002,126.180000,126.180000,38865600
2014-08-08,126.080002,126.809998,125.639999,126.309998,126.309998,20817400
2014-08-15,124.519997,126.070000,122.449997,122.879997,122.879997,35305800
2014-08-22,123.089996,124.330002,122.570000,124.000000,124.000000,19507400
2014-08-29,123.750000,124.220001,121.250000,121.480003,121.480003,24537300
2014-09-05,121.830002,122.059998,118.769997,119.470001,119.470001,31787400
2014-09-12,118.629997,119.430000,117.190002,117.779999,117.779999,33143800
2014-09-19,117.510002,117.989998,116.199997,117.389999,117.389999,36343300
2014-09-26,117.019997,117.400002,115.849998,116.739998,116.739998,31773500
2014-10-03,115.169998,118.260002,114.419998,117.639999,117.639999,41501500
2014-10-10,117.699997,120.180000,117.190002,119.220001,119.220001,31221700
2014-10-17,119.059998,120.500000,117.879997,118.519997,118.519997,25816500
2014-10-24,118.620003,118.629997,114.940002,115.190002,115.190002,25067300
2014-10-31,111.830002,112.879997,109.669998,109.879997,109.879997,51808100
2014-11-07,110.779999,113.150002,110.279999,111.669998,111.669998,38076100
2014-11-14,110.760002,115.349998,110.650002,114.860001,114.860001,42806800
2014-11-21,115.580002,115.959999,114.470001,115.160004,115.160004,23495100
2014-11-28,113.529999,117.360001,111.949997,115.879997,115.879997,41020800
2014-12-05,115.160004,118.989998,114.239998,117.690002,117.690002,31514600
2014-12-12,117.389999,117.800003,113.580002,115.150002,115.150002,37061900
2014-12-19,115.059998,115.220001,112.410004,112.769997,112.769997,21400400
2014-12-26,114.820000,116.260002,113.230003,113.580002,113.580002,32340800
2015-01-02,112.489998,117.500000,112.320000,115.940002,115.940002,39993200
2015-01-09,116.510002,121.699997,116.500000,120.940002,120.940002,49394200
2015-01-16,121.730003,125.580002,121.709999,125.230003,125.230003,50997900
2015-01-23,124.430000,124.639999,120.260002,120.760002,120.760002,43092900
2015-01-30,121.300003,123.550003,120.559998,121.790001,121.790001,43963600
2015-02-06,119.150002,119.519997,117.000000,117.339996,117.339996,33659200
2015-02-13,118.050003,118.580002,114.989998,115.940002,115.940002,26198800
2015-02-20,116.099998,116.550003,114.290001,116.070000,116.070000,28164900
2015-02-27,116.739998,117.070000,114.839996,115.000000,115.000000,31621800
2015-03-06,113.169998,113.260002,110.160004,110.720001,110.720001,36926500
2015-03-13,111.099998,112.870003,109.769997,112.290001,112.290001,35731900
2015-03-20,112.709999,115.839996,112.669998,115.480003,115.480003,23769600
2015-03-27,115.139999,115.989998,113.410004,115.279999,115.279999,24897000
2015-04-03,117.320000,117.470001,114.480003,114.669998,114.669998,18658200
2015-04-10,116.000000,116.190002,114.389999,115.029999,115.029999,17562300
2015-04-17,115.379997,115.790001,113.769997,114.660004,114.660004,19902300
2015-04-24,113.959999,116.620003,112.769997,113.470001,113.470001,39305700
2015-05-01,112.419998,115.110001,112.279999,113.419998,113.419998,23837400
2015-05-08,114.339996,117.750000,113.080002,117.180000,117.180000,34828700
2015-05-15,116.800003,117.879997,115.470001,115.690002,115.690002,21526600
2015-05-22,115.510002,115.930000,113.209999,114.019997,114.019997,15496900
2015-05-29,114.139999,115.500000,112.480003,112.839996,112.839996,26101900
2015-06-05,111.599998,114.139999,111.570000,113.260002,113.260002,22100900
2015-06-12,113.059998,115.610001,112.629997,115.320000,115.320000,26584200
2015-06-19,115.339996,115.459999,112.309998,112.440002,112.440002,20778300
2015-06-26,112.199997,113.230003,111.410004,111.760002,111.760002,26357400
2015-07-03,111.709999,112.580002,110.050003,111.360001,111.360001,22831000
2015-07-10,111.180000,111.709999,109.580002,109.760002,109.760002,24391100
2015-07-17,109.110001,109.160004,104.180000,104.330002,104.330002,55258300
2015-07-24,103.610001,105.680000,103.430000,104.269997,104.269997,40080900
2015-07-31,105.410004,105.750000,103.779999,104.389999,104.389999,22407900
2015-08-07,104.559998,107.910004,104.550003,106.860001,106.860001,29138600
2015-08-14,107.070000,110.610001,106.309998,110.440002,110.440002,32984200
2015-08-21,110.930000,112.120003,107.080002,107.730003,107.730003,61239200
2015-08-28,108.169998,109.769997,107.559998,107.839996,107.839996,27197600
2015-09-04,107.139999,107.940002,105.480003,106.379997,106.379997,25066200
2015-09-11,105.650002,108.580002,105.269997,108.410004,108.410004,22999100
2015-09-18,109.099998,110.820000,107.440002,110.489998,110.489998,30150900
2015-09-25,109.870003,110.029999,106.470001,106.730003,106.730003,24746900
2015-10-02,108.540001,110.269997,108.459999,109.139999,109.139999,31128400
2015-10-09,110.540001,113.989998,110.230003,113.290001,113.290001,43606500
