Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,112.370003,114.330002,111.510002,114.190002,87.791130,477690000
2010-01-08,113.889999,115.139999,113.220001,114.930000,88.360031,673652800
2010-01-15,114.730003,115.129997,111.559998,111.699997,85.876740,912805600
2010-01-22,111.199997,111.739998,107.910004,108.570000,83.470406,1332016300
2010-01-29,109.040001,110.589996,106.419998,106.440002,81.832802,1244316900
2010-02-05,106.559998,108.250000,104.580002,108.129997,83.132103,1519676300
2010-02-12,106.989998,111.139999,106.510002,110.910004,85.269417,826493300
2010-02-19,110.620003,111.580002,108.940002,110.669998,85.084869,998514200
2010-02-26,110.769997,112.970001,110.110001,112.639999,86.599457,768846800
2010-03-05,113.370003,115.480003,113.099998,115.449997,88.759834,792186600
2010-03-12,115.949997,117.480003,114.599998,117.040001,89.982254,851541800
2010-03-19,115.970001,118.169998,115.239998,116.650002,89.682419,1013529400
2010-03-26,116.870003,118.250000,116.120003,117.800003,90.939499,808388400
2010-04-02,118.250000,119.360001,117.599998,118.769997,91.688309,559512100
2010-04-09,119.019997,121.570000,118.800003,121.290001,93.633713,674553400
2010-04-16,120.860001,121.290001,118.470001,121.019997,93.425270,1050712900
2010-04-23,120.940002,122.120003,118.250000,120.860001,93.301781,1171095200
2010-04-30,120.879997,121.010002,105.000000,112.940002,87.187675,1789432000
2010-05-07,112.639999,117.680000,109.410004,115.989998,89.542236,1821627800
2010-05-14,115.120003,115.330002,107.470001,107.540001,83.018974,1957059000
2010-05-21,105.910004,110.800003,104.379997,110.760002,85.504784,1817827400
2010-05-28,110.639999,111.059998,107.370003,110.709999,85.466179,1042704900
2010-06-04,108.610001,109.330002,104.650002,109.150002,84.261841,1606772900
2010-06-11,108.190002,112.419998,108.120003,112.139999,86.570084,1139152800
2010-06-18,111.830002,113.199997,107.139999,107.419998,82.926323,1149666200
2010-06-25,107.739998,108.419998,101.129997,102.760002,79.706322,1448621100
2010-07-02,103.110001,107.279999,101.620003,107.160004,83.119194,954932000
2010-07-09,107.129997,110.089996,106.930000,109.680000,85.073860,906074100
2010-07-16,109.089996,109.940002,105.820000,109.459999,84.903214,1266873100
2010-07-23,109.239998,112.290001,108.930000,110.290001,85.546997,994527400
2010-07-30,109.169998,113.110001,108.980003,112.849998,87.532684,853636600
2010-08-06,111.739998,113.180000,107.599998,108.629997,84.259415,1116394500
2010-08-13,108.290001,110.389999,107.180000,107.879997,83.677658,927633800
2010-08-20,107.559998,108.570000,104.290001,105.230003,81.622200,1150556600
2010-08-27,105.889999,109.489998,104.309998,109.470001,84.910980,1126761000
2010-09-03,110.540001,111.680000,109.550003,110.919998,86.035652,651113300
2010-09-10,111.120003,113.290001,110.870003,113.050003,87.687798,884717400
2010-09-17,113.040001,114.839996,112.180000,112.500000,87.261200,1072457900
2010-09-24,113.750000,115.790001,113.180000,114.129997,88.999443,1014413600
2010-10-01,114.989998,116.529999,113.180000,115.889999,90.371918,883912600
2010-10-08,116.050003,118.550003,115.610001,117.459999,91.596199,875179900
2010-10-15,118.279999,119.089996,116.019997,118.129997,92.118668,1087151800
2010-10-22,118.309998,119.760002,117.260002,118.400002,92.329201,776941000
2010-10-29,118.279999,122.320000,117.849998,122.260002,95.339272,918468400
2010-11-05,122.339996,122.949997,120.660004,121.639999,94.855797,902787800
2010-11-12,120.820000,121.349998,117.589996,119.959999,93.545746,1072608400
2010-11-19,119.900002,120.339996,117.989998,120.199997,93.732872,700569000
2010-11-26,119.160004,122.650002,117.739998,122.559998,95.573235,945831600
2010-12-03,122.139999,124.019997,122.110001,123.760002,96.509003,722644700
2010-12-10,124.139999,125.230003,123.730003,124.820000,97.335571,744492300
2010-12-17,124.080002,125.820000,123.820000,125.599998,97.943840,504058100
2010-12-24,125.129997,126.199997,125.040001,125.720001,98.553009,248085100
2010-12-31,125.529999,127.830002,125.330002,127.389999,99.862129,623848100
2011-01-07,127.559998,128.720001,126.150002,128.369995,100.630371,625700900
2011-01-14,128.190002,129.639999,127.129997,128.080002,100.403046,559783300
2011-01-21,128.880005,130.210007,128.110001,129.990005,101.900291,697314800
2011-01-28,130.139999,130.979996,127.510002,130.779999,102.519577,876291100
2011-02-04,130.830002,132.639999,130.229996,132.320007,103.726830,655291900
2011-02-11,131.800003,134.429993,131.770004,134.250000,105.239708,598970400
2011-02-18,134.369995,134.690002,129.699997,130.929993,102.637123,851134200
2011-02-25,131.479996,133.690002,130.350006,133.470001,104.628273,918595400
2011-03-04,133.369995,133.630005,129.809998,129.940002,101.861137,1123705500
2011-03-11,129.520004,131.309998,125.279999,127.849998,100.222725,1543155300
2011-03-18,128.839996,131.089996,127.510002,130.899994,102.613625,821699500
2011-03-25,131.240005,133.160004,130.440002,132.589996,104.389954,663576100
2011-04-01,133.410004,134.000000,132.660004,133.320007,104.964706,666553600
2011-04-08,133.910004,133.990005,130.270004,131.559998,103.579025,753797600
2011-04-15,131.800003,133.839996,129.509995,133.779999,105.326889,797094000
